# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3300, i.e. number of multipoles equal to 3299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
  43 1.7283605905e-10 9.7003305531e-15 2.0481433890e-13 0.0000000000e+00 7.7228762716e-11 8.4857275288e-12 -3.4146590190e-16
  44 1.7529073169e-10 1.0463143981e-14 1.9133712629e-13 0.0000000000e+00 7.3569112406e-11 8.1274979772e-12 -1.7685697822e-15
  45 1.7777205217e-10 1.1265537090e-14 1.7656297275e-13 0.0000000000e+00 7.0157140407e-11 7.7933908907e-12 -3.8597730406e-15
  46 1.8028031591e-10 1.2108617857e-14 1.6019175032e-13 0.0000000000e+00 6.6972439677e-11 7.4810598294e-12 -6.1458545307e-15
  47 1.8281269780e-10 1.2993505413e-14 1.4187320958e-13 0.0000000000e+00 6.3980523037e-11 7.1866931722e-12 -8.0659336051e-15
  48 1.8536538171e-10 1.3921001008e-14 1.2129610441e-13 0.0000000000e+00 6.1143669148e-11 6.9061841892e-12 -9.1023731090e-15
  49 1.8794129904e-10 1.4890490583e-14 9.8491910864e-14 0.0000000000e+00 5.8459417082e-11 6.6392732834e-12 -9.2422174565e-15
  50 1.9054410004e-10 1.5900733339e-14 7.3611836266e-14 0.0000000000e+00 5.5931198901e-11 6.3863952047e-12 -8.6371679579e-15
  51 1.9317579247e-10 1.6950147934e-14 4.6844127861e-14 0.0000000000e+00 5.3557048615e-11 6.1474694389e-12 -7.4770435475e-15
  52 1.9583658979e-10 1.8036795969e-14 1.8415920905e-14 0.0000000000e+00 5.1329203320e-11 5.9218614829e-12 -5.9918801506e-15
  53 1.9852475943e-10 1.9158365471e-14 -1.1404913234e-14 0.0000000000e+00 4.9233704333e-11 5.7083441204e-12 -4.4540300493e-15
  54 2.0123647098e-10 2.0312154378e-14 -4.2307918980e-14 0.0000000000e+00 4.7249998326e-11 5.5050586976e-12 -3.1802612497e-15
  55 2.0396765343e-10 2.1495848001e-14 -7.4025863722e-14 0.0000000000e+00 4.5356865224e-11 5.3100816660e-12 -2.4587092785e-15
  56 2.0672045448e-10 2.2710115414e-14 -1.0662135523e-13 0.0000000000e+00 4.3552840133e-11 5.1233777381e-12 -2.3036727301e-15
  57 2.0949812003e-10 2.3956629136e-14 -1.4026818908e-13 0.0000000000e+00 4.1840166009e-11 4.9452641086e-12 -2.6435808750e-15
  58 2.1230305396e-10 2.5237341768e-14 -1.7517146458e-13 0.0000000000e+00 4.0218762343e-11 4.7758328850e-12 -3.3899938815e-15
  59 2.1513674465e-10 2.6554500411e-14 -2.1156915183e-13 0.0000000000e+00 3.8686072790e-11 4.6149359448e-12 -4.4367743552e-15
  60 2.1799969148e-10 2.7910661087e-14 -2.4973365877e-13 0.0000000000e+00 3.7236912802e-11 4.4621697933e-12 -5.6592588776e-15
  61 2.2089133137e-10 2.9308703155e-14 -2.8997339819e-13 0.0000000000e+00 3.5863317260e-11 4.3168604205e-12 -6.9134295458e-15
  62 2.2380996526e-10 3.0751843731e-14 -3.3263435484e-13 0.0000000000e+00 3.4554388112e-11 4.1780481592e-12 -8.0350855111e-15
  63 2.2675378334e-10 3.2242667785e-14 -3.7801252946e-13 0.0000000000e+00 3.3299269830e-11 4.0447668978e-12 -8.8756659338e-15
  64 2.2972436664e-10 3.3779939623e-14 -4.2606550271e-13 0.0000000000e+00 3.2097174920e-11 3.9169867637e-12 -9.4206840635e-15
  65 2.3272382055e-10 3.5361119596e-14 -4.7664056719e-13 0.0000000000e+00 3.0949280087e-11 3.7948506793e-12 -9.6957249181e-15
  66 2.3575370338e-10 3.6983272520e-14 -5.2955723894e-13 0.0000000000e+00 2.9855733072e-11 3.6783918753e-12 -9.7323287562e-15
  67 2.3881498567e-10 3.8643052791e-14 -5.8460617203e-13 0.0000000000e+00 2.8815593368e-11 3.5675275089e-12 -9.5682534326e-15
  68 2.4190800930e-10 4.0336689515e-14 -6.4154807314e-13 0.0000000000e+00 2.7826772949e-11 3.4620522816e-12 -9.2477367531e-15
  69 2.4503244677e-10 4.2059971628e-14 -7.0011261611e-13 0.0000000000e+00 2.6885976988e-11 3.3616320572e-12 -8.8217588295e-15
