# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3300, i.e. number of multipoles equal to 3299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
  43 1.7169610274e-10 9.6191850856e-15 2.0282752072e-13 0.0000000000e+00 7.6945679039e-11 8.4410154910e-12 -1.7463702243e-16
  44 1.7414970929e-10 1.0375229148e-14 1.8949462650e-13 0.0000000000e+00 7.3304310327e-11 8.0849606631e-12 -1.6613821104e-15
  45 1.7662973873e-10 1.1170260549e-14 1.7486035697e-13 0.0000000000e+00 6.9909142232e-11 7.7528466492e-12 -3.8382673802e-15
  46 1.7913645392e-10 1.2005702473e-14 1.5864988088e-13 0.0000000000e+00 6.6739901072e-11 7.4423532078e-12 -6.2138530230e-15
  47 1.8166702925e-10 1.2883049725e-14 1.4054293507e-13 0.0000000000e+00 6.3762309866e-11 7.1497062937e-12 -8.2007907051e-15
  48 1.8421766282e-10 1.3803446257e-14 1.2025430160e-13 0.0000000000e+00 6.0938873874e-11 6.8708381645e-12 -9.2573628355e-15
  49 1.8679125057e-10 1.4766268564e-14 9.7808102103e-14 0.0000000000e+00 5.8267161288e-11 6.6054946137e-12 -9.3715833724e-15
  50 1.8939140884e-10 1.5770149108e-14 7.3336378231e-14 0.0000000000e+00 5.5750598560e-11 6.3541086408e-12 -8.7044998094e-15
  51 1.9202013332e-10 1.6813349788e-14 4.7004387844e-14 0.0000000000e+00 5.3387241794e-11 6.1166009233e-12 -7.4574584999e-15
  52 1.9467764911e-10 1.7893743778e-14 1.9012255619e-14 0.0000000000e+00 5.1169379855e-11 5.8923413109e-12 -5.8743222499e-15
  53 1.9736226079e-10 1.9008797363e-14 -1.0403376363e-14 0.0000000000e+00 4.9083137483e-11 5.6801103188e-12 -4.2436879101e-15
  54 2.0007020250e-10 2.0155551781e-14 -4.0967698028e-14 0.0000000000e+00 4.7108078408e-11 5.4780606223e-12 -2.9011039685e-15
  55 2.0279747196e-10 2.1331465098e-14 -7.2444432184e-14 0.0000000000e+00 4.5223102228e-11 5.2842798580e-12 -2.1515112194e-15
  56 2.0554620947e-10 2.2537224358e-14 -1.0489203147e-13 0.0000000000e+00 4.3426759748e-11 5.0987309667e-12 -2.0089217524e-15
  57 2.0831964094e-10 2.3774600225e-14 -1.3846823509e-13 0.0000000000e+00 4.1721289233e-11 4.9217264273e-12 -2.3959549230e-15
  58 2.1112016183e-10 2.5045663154e-14 -1.7335866506e-13 0.0000000000e+00 4.0106616424e-11 4.7533544302e-12 -3.2170771282e-15
  59 2.1394926443e-10 2.6352798737e-14 -2.0977822830e-13 0.0000000000e+00 3.8580202866e-11 4.5934637992e-12 -4.3577112073e-15
  60 2.1680746529e-10 2.7698723055e-14 -2.4797251868e-13 0.0000000000e+00 3.7136894232e-11 4.4416489125e-12 -5.6833458425e-15
  61 2.1969423257e-10 2.9086498015e-14 -2.8821921905e-13 0.0000000000e+00 3.5768768644e-11 4.2972346248e-12 -7.0386449593e-15
  62 2.2260791341e-10 3.0519546704e-14 -3.3082950339e-13 0.0000000000e+00 3.4464985002e-11 4.1592611882e-12 -8.2465571272e-15
  63 2.2554674133e-10 3.2000638255e-14 -3.7606856569e-13 0.0000000000e+00 3.3214744175e-11 4.0267632927e-12 -9.1470332396e-15
  64 2.2851227803e-10 3.3528550071e-14 -4.2389386358e-13 0.0000000000e+00 3.2017266513e-11 3.8997120400e-12 -9.7250199958e-15
  65 2.3150659511e-10 3.5100702798e-14 -4.7416211294e-13 0.0000000000e+00 3.0873726744e-11 3.7782521676e-12 -1.0008878613e-14
  66 2.3453122049e-10 3.6714111585e-14 -5.2670414168e-13 0.0000000000e+00 2.9784275084e-11 3.6624198421e-12 -1.0033520637e-14
  67 2.3758709799e-10 3.8365370754e-14 -5.8132388485e-13 0.0000000000e+00 2.8747978203e-11 3.5521363339e-12 -9.8406961577e-15
  68 2.4067454678e-10 4.0050638485e-14 -6.3779737981e-13 0.0000000000e+00 2.7762760199e-11 3.4472016926e-12 -9.4792820321e-15
  69 2.4379322093e-10 4.1765621489e-14 -6.9587176130e-13 0.0000000000e+00 2.6825343562e-11 3.3472884215e-12 -9.0055700992e-15
  70 2.4694206890e-10 4.3505559684e-14 -7.5526425661e-13 0.0000000000e+00 2.5931190149e-11 3.2519351530e-12 -8.4835553996e-15
  71 2.5011929308e-10 4.5265210874e-14 -8.1566118069e-13 0.0000000000e+00 2.5074442147e-11 3.1605403235e-12 -7.9852243942e-15
  72 2.5332316783e-10 4.7039888279e-14 -8.7678609407e-13 0.0000000000e+00 2.4249432535e-11 3.0725171122e-12 -7.5761138316e-15
  73 2.5655476553e-10 4.8828837752e-14 -9.3862165595e-13 0.0000000000e+00 2.3455683282e-11 2.9878067440e-12 -7.2681377263e-15
  74 2.5981568308e-10 5.0632484143e-14 -1.0012287381e-12 0.0000000000e+00 2.2693764343e-11 2.9064527433e-12 -7.0581842187e-15
  75 2.6310720917e-10 5.2451444453e-14 -1.0646815997e-12 0.0000000000e+00 2.1963786373e-11 2.8284458024e-12 -6.9419953750e-15
  76 2.6643030339e-10 5.4286536548e-14 -1.1290684615e-12 0.0000000000e+00 2.1265377528e-11 2.7537211384e-12 -6.9141191187e-15
  77 2.6978557534e-10 5.6138787870e-14 -1.1944920799e-12 0.0000000000e+00 2.0597660272e-11 2.6821558499e-12 -6.9678611631e-15
  78 2.7317326379e-10 5.8009444158e-14 -1.2610703215e-12 0.0000000000e+00 1.9959228175e-11 2.6135662736e-12 -7.0952369424e-15
  79 2.7659321573e-10 5.9899978158e-14 -1.3289367368e-12 0.0000000000e+00 1.9348122717e-11 2.5477053418e-12 -7.2869235444e-15
  80 2.8004486553e-10 6.1812098339e-14 -1.3982411348e-12 0.0000000000e+00 1.8761810091e-11 2.4842599383e-12 -7.5322116419e-15
  81 2.8352721405e-10 6.3747757607e-14 -1.4691501568e-12 0.0000000000e+00 1.8197158001e-11 2.4228482564e-12 -7.8189574248e-15
  82 2.8703930479e-10 6.5708421652e-14 -1.5418035629e-12 0.0000000000e+00 1.7651219218e-11 2.3631160374e-12 -8.1350396336e-15
  83 2.9058179114e-10 6.7692712087e-14 -1.6161733005e-12 0.0000000000e+00 1.7123786025e-11 2.3050498709e-12 -8.4731204745e-15
  84 2.9415559802e-10 6.9698377591e-14 -1.6921814683e-12 0.0000000000e+00 1.6615228660e-11 2.2487124523e-12 -8.8266081258e-15
  85 2.9776143652e-10 7.1722994476e-14 -1.7697422762e-12 0.0000000000e+00 1.6125718240e-11 2.1941475368e-12 -9.1882021973e-15
  86 3.0139979178e-10 7.3763962350e-14 -1.8487618391e-12 0.0000000000e+00 1.5655217789e-11 2.1413790393e-12 -9.5498721998e-15
  87 3.0507091087e-10 7.5818499777e-14 -1.9291379694e-12 0.0000000000e+00 1.5203473258e-11 2.0904101353e-12 -9.9028360145e-15
  88 3.0877479067e-10 7.7883639935e-14 -2.0107599714e-12 0.0000000000e+00 1.4770004560e-11 2.0412223608e-12 -1.0237538361e-14
  89 3.1251116574e-10 7.9956226281e-14 -2.0935084335e-12 0.0000000000e+00 1.4354096589e-11 1.9937747125e-12 -1.0543629269e-14
  90 3.1627949621e-10 8.2032908212e-14 -2.1772550225e-12 0.0000000000e+00 1.3954790249e-11 1.9480027484e-12 -1.0809942543e-14
  91 3.2007895567e-10 8.4110136720e-14 -2.2618622761e-12 0.0000000000e+00 1.3570873484e-11 1.9038176881e-12 -1.1024474237e-14
  92 3.2390841900e-10 8.6184160061e-14 -2.3471833969e-12 0.0000000000e+00 1.3200872299e-11 1.8611055127e-12 -1.1174361117e-14
  93 3.2776645033e-10 8.8251019410e-14 -2.4330620453e-12 0.0000000000e+00 1.2843041787e-11 1.8197260655e-12 -1.1245859138e-14
  94 3.3165171690e-10 9.0307012898e-14 -2.5193517782e-12 0.0000000000e+00 1.2495775877e-11 1.7795482263e-12 -1.1227835095e-14
