# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
  43 1.7180674669e-10 9.6952103921e-15 2.0258725169e-13 7.6822691433e-17 7.6945679039e-11 8.4410154910e-12 -1.7463702243e-16
  44 1.7426460396e-10 1.0454741833e-14 1.8923878517e-13 8.0445797845e-17 7.3304310327e-11 8.0849606631e-12 -1.6613821104e-15
  45 1.7674892334e-10 1.1253330182e-14 1.7458867404e-13 8.4155031289e-17 6.9909142232e-11 7.7528466492e-12 -3.8382673802e-15
  46 1.7925996517e-10 1.2092397355e-14 1.5836216723e-13 8.7950468785e-17 6.6739901072e-11 7.4423532078e-12 -6.2138530230e-15
  47 1.8179490133e-10 1.2973436804e-14 1.4023909133e-13 9.1832167855e-17 6.3762309866e-11 7.1497062937e-12 -8.2007907051e-15
  48 1.8434992752e-10 1.3897591000e-14 1.1993432549e-13 9.5800138376e-17 6.0938873874e-11 6.8708381645e-12 -9.2573628355e-15
  49 1.8692793798e-10 1.4864234685e-14 9.7472087304e-14 9.9854251468e-17 5.8267161288e-11 6.6054946137e-12 -9.3715833724e-15
  50 1.8953254763e-10 1.5871998395e-14 7.2984519953e-14 1.0399430294e-16 5.5750598560e-11 6.3541086408e-12 -8.7044998094e-15
  51 1.9216575087e-10 1.6919141963e-14 4.6636991159e-14 1.0822003556e-16 5.3387241794e-11 6.1166009233e-12 -7.4574584999e-15
  52 1.9482777166e-10 1.8003536353e-14 1.8629744007e-14 1.1253113656e-16 5.1169379855e-11 5.8923413109e-12 -5.8743222499e-15
  53 1.9751691360e-10 1.9122645494e-14 -1.0800452203e-14 1.1692723506e-16 4.9083137483e-11 5.6801103188e-12 -4.2436879101e-15
  54 2.0022941001e-10 2.0273508111e-14 -4.1378651113e-14 1.2140789956e-16 4.7108078408e-11 5.4780606223e-12 -2.9011039685e-15
  55 2.0296125773e-10 2.1453579679e-14 -7.2868437828e-14 1.2597269444e-16 4.5223102228e-11 5.2842798580e-12 -2.1515112194e-15
  56 2.0571459535e-10 2.2663544831e-14 -1.0532815163e-13 1.3062137159e-16 4.3426759748e-11 5.0987309667e-12 -2.0089217524e-15
  57 2.0849264692e-10 2.3905171791e-14 -1.3891542291e-13 1.3535372199e-16 4.1721289233e-11 4.9217264273e-12 -2.3959549230e-15
  58 2.1129780593e-10 2.5180528478e-14 -1.7381576210e-13 1.4016952058e-16 4.0106616424e-11 4.7533544302e-12 -3.2170771282e-15
  59 2.1413156273e-10 2.6491997850e-14 -2.1024396184e-13 1.4506852606e-16 3.8580202866e-11 4.5934637992e-12 -4.3577112073e-15
  60 2.1699443188e-10 2.7842293247e-14 -2.4844549905e-13 1.5005048063e-16 3.7136894232e-11 4.4416489125e-12 -5.6833458425e-15
  61 2.1988587951e-10 2.9234473736e-14 -2.8869793706e-13 1.5511510978e-16 3.5768768644e-11 4.2972346248e-12 -7.0386449593e-15
  62 2.2280425069e-10 3.0671959457e-14 -3.3131232776e-13 1.6026212207e-16 3.4464985002e-11 4.1592611882e-12 -8.2465571272e-15
  63 2.2574777657e-10 3.2157516687e-14 -3.7655374250e-13 1.6549128348e-16 3.3214744175e-11 4.0267632927e-12 -9.1470332396e-15
  64 2.2871801520e-10 3.3689920704e-14 -4.2437952208e-13 1.7080266003e-16 3.2017266513e-11 3.8997120400e-12 -9.7250199958e-15
  65 2.3171703403e-10 3.5266590254e-14 -4.7464626648e-13 1.7619642780e-16 3.0873726744e-11 3.7782521676e-12 -1.0008878613e-14
  66 2.3474635655e-10 3.6884538633e-14 -5.2718468696e-13 1.8167280501e-16 2.9784275084e-11 3.6624198421e-12 -1.0033520637e-14
  67 2.3780692185e-10 3.8540358365e-14 -5.8179860123e-13 1.8723205391e-16 2.8747978203e-11 3.5521363339e-12 -9.8406961577e-15
  68 2.4089904408e-10 4.0230205884e-14 -6.3826392874e-13 1.9287448285e-16 2.7762760199e-11 3.4472016926e-12 -9.4792820321e-15
  69 2.4402237197e-10 4.1949786216e-14 -6.9632768589e-13 1.9860044824e-16 2.6825343562e-11 3.3472884215e-12 -9.0055700992e-15
  70 2.4717584836e-10 4.3694337657e-14 -7.5570698129e-13 2.0441035653e-16 2.5931190149e-11 3.2519351530e-12 -8.4835553996e-15
  71 2.5035766962e-10 4.5458616458e-14 -8.1608801097e-13 2.1030466619e-16 2.5074442147e-11 3.1605403235e-12 -7.9852243942e-15
  72 2.5356610426e-10 4.7237934375e-14 -8.7719420706e-13 2.1628381839e-16 2.4249432535e-11 3.0725171122e-12 -7.5761138316e-15
  73 2.5680222032e-10 4.9031535919e-14 -9.3900806074e-13 2.2234800888e-16 2.3455683282e-11 2.9878067440e-12 -7.2681377263e-15
  74 2.6006761070e-10 5.0839844705e-14 -1.0015902607e-12 2.2849737571e-16 2.2693764343e-11 2.9064527433e-12 -7.0581842187e-15
  75 2.6336356005e-10 5.2663476591e-14 -1.0650148765e-12 2.3473206708e-16 2.1963786373e-11 2.8284458024e-12 -6.9419953750e-15
  76 2.6669102385e-10 5.4503248399e-14 -1.1293699331e-12 2.4105224163e-16 2.1265377528e-11 2.7537211384e-12 -6.9141191187e-15
  77 2.7005060754e-10 5.6360186632e-14 -1.1947579846e-12 2.4745806889e-16 2.0597660272e-11 2.6821558499e-12 -6.9678611631e-15
  78 2.7344254561e-10 5.8235536194e-14 -1.2612966882e-12 2.5394972957e-16 1.9959228175e-11 2.6135662736e-12 -7.0952369424e-15
  79 2.7686668077e-10 6.0130769113e-14 -1.3291193787e-12 2.6052741598e-16 1.9348122717e-11 2.5477053418e-12 -7.2869235444e-15
  80 2.8032244300e-10 6.2047593254e-14 -1.3983756422e-12 2.6719133232e-16 1.8761810091e-11 2.4842599383e-12 -7.5322116419e-15
  81 2.8380882870e-10 6.3987961042e-14 -1.4692318906e-12 2.7394169511e-16 1.8197158001e-11 2.4228482564e-12 -7.8189574248e-15
  82 2.8732487701e-10 6.5953337739e-14 -1.5418276588e-12 2.8077870755e-16 1.7651219218e-11 2.3631160374e-12 -8.1350396336e-15
  83 2.9087123748e-10 6.7942344362e-14 -1.6161347117e-12 2.8770247703e-16 1.7123786025e-11 2.3050498709e-12 -8.4731204745e-15
  84 2.9444883137e-10 6.9952729014e-14 -1.6920749763e-12 2.9471308420e-16 1.6615228660e-11 2.2487124523e-12 -8.8266081258e-15
  85 2.9805836611e-10 7.1982067533e-14 -1.7695624907e-12 3.0181060764e-16 1.6125718240e-11 2.1941475368e-12 -9.1882021973e-15
  86 3.0170032321e-10 7.4027759148e-14 -1.8485031976e-12 3.0899512372e-16 1.5655217789e-11 2.1413790393e-12 -9.5498721998e-15
  87 3.0537494612e-10 7.6087022146e-14 -1.9287947379e-12 3.1626670651e-16 1.5203473258e-11 2.0904101353e-12 -9.9028360145e-15
  88 3.0908222812e-10 7.8156889539e-14 -2.0103262438e-12 3.2362542770e-16 1.4770004560e-11 2.0412223608e-12 -1.0237538361e-14
  89 3.1282190020e-10 8.0234204722e-14 -2.0929781324e-12 3.3107135648e-16 1.4354096589e-11 1.9937747125e-12 -1.0543629269e-14
  90 3.1659341894e-10 8.2315617144e-14 -2.1766218991e-12 3.3860455944e-16 1.3954790249e-11 1.9480027484e-12 -1.0809942543e-14
  91 3.2039595440e-10 8.4397577968e-14 -2.2611199111e-12 3.4622510052e-16 1.3570873484e-11 1.9038176881e-12 -1.1024474237e-14
  92 3.2422837798e-10 8.6476335734e-14 -2.3463252005e-12 3.5393304083e-16 1.3200872299e-11 1.8611055127e-12 -1.1174361117e-14
  93 3.2808925032e-10 8.8547932030e-14 -2.4320812584e-12 3.6172843864e-16 1.2843041787e-11 1.8197260655e-12 -1.1245859138e-14
  94 3.3197723484e-10 9.0608665971e-14 -2.5182414879e-12 3.6961144691e-16 1.2495775877e-11 1.7795482263e-12 -1.1227835095e-14
