# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
  43 1.7189856815e-10 9.7099110061e-15 2.0246085098e-13 7.6997190041e-17 7.7066667529e-11 8.4410750956e-12 -3.6631856292e-16
  44 1.7435423218e-10 1.0468739478e-14 1.8925085985e-13 8.0628560740e-17 7.3419480895e-11 8.0849333024e-12 -1.2705014199e-15
  45 1.7683635507e-10 1.1265729807e-14 1.7477550778e-13 8.4346271872e-17 7.0018904618e-11 7.7524263524e-12 -2.8574376458e-15
  46 1.7934519876e-10 1.2102487790e-14 1.5874537040e-13 8.8150400628e-17 6.6844630101e-11 7.4413612539e-12 -4.7053713415e-15
  47 1.8187793188e-10 1.2980737116e-14 1.4082256795e-13 9.2041004385e-17 6.3862322410e-11 7.1481185693e-12 -6.3082655855e-15
  48 1.8443074355e-10 1.3901856059e-14 1.2070534007e-13 9.6018092269e-17 6.1034423664e-11 6.8687793394e-12 -7.1965408247e-15
  49 1.8700652373e-10 1.4865318472e-14 9.8416391366e-14 1.0008153313e-16 5.8358497021e-11 6.6031180971e-12 -7.3504295213e-15
  50 1.8960888057e-10 1.5869824121e-14 7.4091092645e-14 1.0423111959e-16 5.5837973746e-11 6.3515612174e-12 -6.8951199812e-15
  51 1.9223979727e-10 1.6913712652e-14 4.7898905438e-14 1.0846659058e-16 5.3470906056e-11 6.1140190897e-12 -5.9872097904e-15
  52 1.9489948179e-10 1.7994945920e-14 2.0045082112e-14 1.1278762873e-16 5.1249569594e-11 5.8898473857e-12 -4.8164355530e-15
  53 1.9758621667e-10 1.9111090306e-14 -9.2276340188e-15 1.1719385780e-16 4.9160065899e-11 5.6778083297e-12 -3.6074026301e-15
  54 2.0029620877e-10 2.0259299039e-14 -3.9637308592e-14 1.2168484016e-16 4.7181924883e-11 5.4760319666e-12 -2.6213148773e-15
  55 2.0302543329e-10 2.1437133271e-14 -7.0940813290e-14 1.2626013399e-16 4.5294011308e-11 5.2825821596e-12 -2.0956025168e-15
  56 2.0577604644e-10 2.2645304646e-14 -1.0319440201e-13 1.3091948762e-16 4.3494873188e-11 5.0974079636e-12 -2.0412802767e-15
  57 2.0855130270e-10 2.3885583081e-14 -1.3655488952e-13 1.3566268897e-16 4.1786752064e-11 4.9208091745e-12 -2.3982784355e-15
  58 2.1135362915e-10 2.5160032377e-14 -1.7120700017e-13 1.4048950975e-16 4.0169573279e-11 4.7528592331e-12 -3.0924593524e-15
  59 2.1418455294e-10 2.6471025223e-14 -2.0736477285e-13 1.4539970523e-16 3.8640794060e-11 4.5933900553e-12 -4.0349276524e-15
  60 2.1704462878e-10 2.7821258191e-14 -2.4527296597e-13 1.5039301398e-16 3.7195251598e-11 4.4419768616e-12 -5.1213404114e-15
  61 2.1993336638e-10 2.9213766742e-14 -2.8520846245e-13 1.5546915767e-16 3.5825011138e-11 4.2979230073e-12 -6.2312173413e-15
  62 2.2284915790e-10 3.0651940224e-14 -3.2748167467e-13 1.6062784079e-16 3.4519214058e-11 4.1602448121e-12 -7.2272509749e-15
  63 2.2579027225e-10 3.2138532382e-14 -3.7236011237e-13 1.6586882606e-16 3.3267043799e-11 4.0279560956e-12 -7.9854658416e-15
  64 2.2875825369e-10 3.3672407785e-14 -4.1981650814e-13 1.7119218008e-16 3.2067719315e-11 3.9010282386e-12 -8.4949102863e-15
  65 2.3175513749e-10 3.5251110402e-14 -4.6972809698e-13 1.7659808100e-16 3.0922417090e-11 3.7796131132e-12 -8.7785435035e-15
  66 2.3478240844e-10 3.6871790907e-14 -5.2194871559e-13 1.8208674962e-16 2.9831287487e-11 3.6637557105e-12 -8.8645276158e-15
  67 2.3784096013e-10 3.8531191793e-14 -5.7630789080e-13 1.8765845139e-16 2.8793395630e-11 3.5533878898e-12 -8.7864559840e-15
  68 2.4093105413e-10 4.0225632468e-14 -6.3260992795e-13 1.9331349842e-16 2.7806662274e-11 3.4483221284e-12 -8.5835815171e-15
  69 2.4405227921e-10 4.1950994365e-14 -6.9063299928e-13 1.9905225153e-16 2.6867804687e-11 3.3482452718e-12 -8.3010449817e-15
  70 2.4720351055e-10 4.3702706044e-14 -7.5012823235e-13 2.0487512221e-16 2.5972277527e-11 3.2527122826e-12 -7.9901033122e-15
  71 2.5038286900e-10 4.5475728297e-14 -8.1081879842e-13 2.1078257470e-16 2.5114213714e-11 3.1611399907e-12 -7.7083579202e-15
  72 2.5358855912e-10 4.7265510156e-14 -8.7245684041e-13 2.1677505569e-16 2.4287937267e-11 3.0729583851e-12 -7.5078347655e-15
  73 2.5682166055e-10 4.9071102444e-14 -9.3500893321e-13 2.2285276356e-16 2.3492969361e-11 2.9881119993e-12 -7.3960683413e-15
  74 2.6008380128e-10 5.0892617735e-14 -9.9850474079e-13 2.2901583831e-16 2.2729880810e-11 2.9066439197e-12 -7.3679255739e-15
  75 2.6337630580e-10 5.2730319555e-14 -1.0629827329e-12 2.3526443023e-16 2.1998782416e-11 2.8285441621e-12 -7.4170439807e-15
  76 2.6670017444e-10 5.4584629651e-14 -1.1284905940e-12 2.4159870026e-16 2.1299301733e-11 2.7537470189e-12 -7.5357826224e-15
  77 2.7005606259e-10 5.6456135264e-14 -1.1950856320e-12 2.4801882037e-16 2.0630559836e-11 2.6821284047e-12 -7.7151730558e-15
  78 2.7344426003e-10 5.8345596401e-14 -1.2628351877e-12 2.5452497393e-16 1.9991148085e-11 2.6135032037e-12 -7.9448702869e-15
  79 2.7686467021e-10 6.0253953104e-14 -1.3318170432e-12 2.6111735604e-16 1.9379104892e-11 2.5476226158e-12 -8.2131037231e-15
  80 2.8031678949e-10 6.2182332725e-14 -1.4021198309e-12 2.6779617396e-16 1.8791892488e-11 2.4841715033e-12 -8.5066281266e-15
  81 2.8379968646e-10 6.4132057194e-14 -1.4738434428e-12 2.7456164739e-16 1.8226373688e-11 2.4227657371e-12 -8.8106745662e-15
  82 2.8731246246e-10 6.6104052420e-14 -1.5470699285e-12 2.8141398230e-16 1.7679596659e-11 2.3630488093e-12 -9.1112871667e-15
  83 2.9085576851e-10 6.8096945292e-14 -1.6217696143e-12 2.8835328635e-16 1.7151353356e-11 2.3050063442e-12 -9.4028969690e-15
  84 2.9443050902e-10 7.0108655664e-14 -1.6978797329e-12 2.9537963966e-16 1.6642014590e-11 2.2487003320e-12 -9.6819490871e-15
  85 2.9803737129e-10 7.2136962326e-14 -1.7753324092e-12 3.0249312012e-16 1.6151751746e-11 2.1941737147e-12 -9.9446242081e-15
  86 3.0167681336e-10 7.4179499731e-14 -1.8540545488e-12 3.0969380320e-16 1.5680527791e-11 2.1414494831e-12 -1.0186831609e-14
  87 3.0534905170e-10 7.6233754725e-14 -1.9339677268e-12 3.1698176190e-16 1.5228088288e-11 2.0905297732e-12 -1.0404202176e-14
  88 3.0905404902e-10 7.8297063277e-14 -2.0149880764e-12 3.2435706662e-16 1.4793952411e-11 2.0413949632e-12 -1.0592081420e-14
  89 3.1279150204e-10 8.0366607208e-14 -2.0970261773e-12 3.3181978508e-16 1.4377403952e-11 1.9940027702e-12 -1.0745522498e-14
  90 3.1656082922e-10 8.2439410925e-14 -2.1799869444e-12 3.3936998219e-16 1.3977482340e-11 1.9482873468e-12 -1.0859279228e-14
  91 3.2036115857e-10 8.4512338146e-14 -2.2637695168e-12 3.4700771994e-16 1.3592973650e-11 1.9041583779e-12 -1.0927799109e-14
  92 3.2419131536e-10 8.6582088633e-14 -2.3482671457e-12 3.5473305735e-16 1.3222401614e-11 1.8615001775e-12 -1.0945216335e-14
  93 3.2804980997e-10 8.8645194921e-14 -2.4333670838e-12 3.6254605030e-16 1.2864018637e-11 1.8201707854e-12 -1.0905344819e-14
  94 3.3193526222e-10 9.0698389392e-14 -2.5189612147e-12 3.7044685003e-16 1.2516216173e-11 1.7800374806e-12 -1.0803516041e-14
