# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3300, i.e. number of multipoles equal to 3299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
  43 1.7178778598e-10 9.6337177443e-15 2.0270099996e-13 0.0000000000e+00 7.7066667529e-11 8.4410750956e-12 -3.6631856292e-16
  44 1.7423919417e-10 1.0389050261e-14 1.8950657942e-13 0.0000000000e+00 7.3419480895e-11 8.0849333024e-12 -1.2705014199e-15
  45 1.7671702198e-10 1.1182474571e-14 1.7504709050e-13 0.0000000000e+00 7.0018904618e-11 7.7524263524e-12 -2.8574376458e-15
  46 1.7922153385e-10 1.2015597711e-14 1.5903303380e-13 0.0000000000e+00 6.6844630101e-11 7.4413612539e-12 -4.7053713415e-15
  47 1.8174990096e-10 1.2890144689e-14 1.4112644549e-13 0.0000000000e+00 6.3862322410e-11 7.1481185693e-12 -6.3082655855e-15
  48 1.8429831483e-10 1.3807495238e-14 1.2102547334e-13 0.0000000000e+00 6.1034423664e-11 6.8687793394e-12 -7.1965408247e-15
  49 1.8686966710e-10 1.4767124983e-14 9.8752727445e-14 0.0000000000e+00 5.8358497021e-11 6.6031180971e-12 -7.3504295213e-15
  50 1.8946756737e-10 1.5767735654e-14 7.4443477120e-14 0.0000000000e+00 5.5837973746e-11 6.3515612174e-12 -6.8951199812e-15
  51 1.9209400011e-10 1.6807669011e-14 4.8267073618e-14 0.0000000000e+00 5.3470906056e-11 6.1140190897e-12 -5.9872097904e-15
  52 1.9474917442e-10 1.7884889177e-14 2.0428649956e-14 0.0000000000e+00 5.1249569594e-11 5.8898473857e-12 -4.8164355530e-15
  53 1.9743137381e-10 1.8996964961e-14 -8.8291792696e-15 0.0000000000e+00 4.9160065899e-11 5.6778083297e-12 -3.6074026301e-15
  54 2.0013680597e-10 2.0141052184e-14 -3.9224618057e-14 0.0000000000e+00 4.7181924883e-11 5.4760319666e-12 -2.6213148773e-15
  55 2.0286144698e-10 2.1314714681e-14 -7.0514679159e-14 0.0000000000e+00 4.5294011308e-11 5.2825821596e-12 -2.0956025168e-15
  56 2.0560745473e-10 2.2518666617e-14 -1.0275573673e-13 0.0000000000e+00 4.3494873188e-11 5.0974079636e-12 -2.0412802767e-15
  57 2.0837808558e-10 2.3754680464e-14 -1.3610472316e-13 0.0000000000e+00 4.1786752064e-11 4.9208091745e-12 -2.3982784355e-15
  58 2.1117576856e-10 2.5024822693e-14 -1.7074648452e-13 0.0000000000e+00 4.0169573279e-11 4.7528592331e-12 -3.0924593524e-15
  59 2.1400203277e-10 2.6331468774e-14 -2.0689518550e-13 0.0000000000e+00 3.8640794060e-11 4.5933900553e-12 -4.0349276524e-15
  60 2.1685743489e-10 2.7677318180e-14 -2.4479571444e-13 0.0000000000e+00 3.7195251598e-11 4.4419768616e-12 -5.1213404114e-15
  61 2.1974148666e-10 2.9065409391e-14 -2.8472508825e-13 0.0000000000e+00 3.5825011138e-11 4.2979230073e-12 -6.2312173413e-15
  62 2.2265258231e-10 3.0499134893e-14 -3.2699385747e-13 0.0000000000e+00 3.4519214058e-11 4.1602448121e-12 -7.2272509749e-15
  63 2.2558899310e-10 3.1981251465e-14 -3.7186966995e-13 0.0000000000e+00 3.3267043799e-11 4.0279560956e-12 -7.9854658416e-15
  64 2.2855226694e-10 3.3510625869e-14 -4.1932538306e-13 0.0000000000e+00 3.2067719315e-11 3.9010282386e-12 -8.4949102863e-15
  65 2.3154444326e-10 3.5084804001e-14 -4.6923835362e-13 0.0000000000e+00 3.0922417090e-11 3.7796131132e-12 -8.7785435035e-15
  66 2.3456701130e-10 3.6700938412e-14 -5.2146254105e-13 0.0000000000e+00 2.9831287487e-11 3.6637557105e-12 -8.8645276158e-15
  67 2.3762086937e-10 3.8355773412e-14 -5.7582759556e-13 0.0000000000e+00 2.8793395630e-11 3.5533878898e-12 -8.7864559840e-15
  68 2.4070628407e-10 4.0045630161e-14 -6.3213794646e-13 0.0000000000e+00 2.7806662274e-11 3.4483221284e-12 -8.5835815171e-15
  69 2.4382284951e-10 4.1766391781e-14 -6.9017189046e-13 0.0000000000e+00 2.6867804687e-11 3.3482452718e-12 -8.3010449817e-15
  70 2.4696944655e-10 4.3513488444e-14 -7.4968067995e-13 0.0000000000e+00 2.5972277527e-11 3.2527122826e-12 -7.9901033122e-15
  71 2.5014420199e-10 4.5281882483e-14 -8.1038761123e-13 0.0000000000e+00 2.5114213714e-11 3.1611399907e-12 -7.7083579202e-15
  72 2.5334532631e-10 4.7067024346e-14 -8.7204495890e-13 0.0000000000e+00 2.4287937267e-11 3.0729583851e-12 -7.5078347655e-15
  73 2.5657390351e-10 4.8867966049e-14 -9.3461945690e-13 0.0000000000e+00 2.3492969361e-11 2.9881119993e-12 -7.3960683413e-15
  74 2.5983156555e-10 5.0684821205e-14 -9.9814093868e-13 0.0000000000e+00 2.2729880810e-11 2.9066439197e-12 -7.3679255739e-15
  75 2.6311964100e-10 5.2517854261e-14 -1.0626480478e-12 0.0000000000e+00 2.1998782416e-11 2.8285441621e-12 -7.4170439807e-15
  76 2.6643913430e-10 5.4367487760e-14 -1.1281886466e-12 0.0000000000e+00 2.1299301733e-11 2.7537470189e-12 -7.5357826224e-15
  77 2.6979070505e-10 5.6234309608e-14 -1.1948202259e-12 0.0000000000e+00 2.0630559836e-11 2.6821284047e-12 -7.7151730558e-15
  78 2.7317464729e-10 5.8119080341e-14 -1.2626103129e-12 0.0000000000e+00 1.9991148085e-11 2.6135032037e-12 -7.9448702869e-15
  79 2.7659086879e-10 6.0022740390e-14 -1.3316368812e-12 0.0000000000e+00 1.9379104892e-11 2.5476226158e-12 -8.2131037231e-15
  80 2.8003887032e-10 6.1946417345e-14 -1.4019887589e-12 0.0000000000e+00 1.8791892488e-11 2.4841715033e-12 -8.5066281266e-15
  81 2.8351772494e-10 6.3891433226e-14 -1.4737660384e-12 0.0000000000e+00 1.8226373688e-11 2.4227657371e-12 -8.8106745662e-15
  82 2.8702653839e-10 6.5858714016e-14 -1.5470509673e-12 0.0000000000e+00 1.7679596659e-11 2.3630488093e-12 -9.1112871667e-15
  83 2.9056596552e-10 6.7846887121e-14 -1.6218140474e-12 0.0000000000e+00 1.7151353356e-11 2.3050063442e-12 -9.4028969690e-15
  84 2.9413691438e-10 6.9853872967e-14 -1.6979926811e-12 0.0000000000e+00 1.6642014590e-11 2.2487003320e-12 -9.6819490871e-15
  85 2.9774007596e-10 7.1877450831e-14 -1.7755191639e-12 0.0000000000e+00 1.6151751746e-11 2.1941737147e-12 -9.9446242081e-15
  86 3.0137591191e-10 7.3915255562e-14 -1.8543205725e-12 0.0000000000e+00 1.5680527791e-11 2.1414494831e-12 -1.0186831609e-14
  87 3.0504464231e-10 7.5964774311e-14 -1.9343186534e-12 0.0000000000e+00 1.5228088288e-11 2.0905297732e-12 -1.0404202176e-14
  88 3.0874623347e-10 7.8023343256e-14 -2.0154297116e-12 0.0000000000e+00 1.4793952411e-11 2.0413949632e-12 -1.0592081420e-14
  89 3.1248038566e-10 8.0088144332e-14 -2.0975644989e-12 0.0000000000e+00 1.4377403952e-11 1.9940027702e-12 -1.0745522498e-14
  90 3.1624652090e-10 8.2156201957e-14 -2.1806281027e-12 0.0000000000e+00 1.3977482340e-11 1.9482873468e-12 -1.0859279228e-14
  91 3.2004377068e-10 8.4224379758e-14 -2.2645198345e-12 0.0000000000e+00 1.3592973650e-11 1.9041583779e-12 -1.0927799109e-14
  92 3.2387096380e-10 8.6289377297e-14 -2.3491331180e-12 0.0000000000e+00 1.3222401614e-11 1.8615001775e-12 -1.0945216335e-14
  93 3.2772661405e-10 8.8347726803e-14 -2.4343553782e-12 0.0000000000e+00 1.2864018637e-11 1.8201707854e-12 -1.0905344819e-14
  94 3.3160934511e-10 9.0396159791e-14 -2.5200786573e-12 0.0000000000e+00 1.2516216173e-11 1.7800374806e-12 -1.0803516041e-14
  95 3.3551926384e-10 9.2432776441e-14 -2.6062335112e-12 0.0000000000e+00 1.2178845206e-11 1.7410913258e-12 -1.0642420582e-14
  96 3.3945676968e-10 9.4456045054e-14 -2.6927599762e-12 0.0000000000e+00 1.1852076630e-11 1.7033480828e-12 -1.0427127326e-14
  97 3.4342212961e-10 9.6464449348e-14 -2.7795973237e-12 0.0000000000e+00 1.1535996091e-11 1.6668129067e-12 -1.0163333689e-14
  98 3.4741547171e-10 9.8456490150e-14 -2.8666840925e-12 0.0000000000e+00 1.1230600639e-11 1.6314799324e-12 -9.8573834366e-15
  99 3.5143677883e-10 1.0043068710e-13 -2.9539581217e-12 0.0000000000e+00 1.0935795374e-11 1.5973318605e-12 -9.5162844873e-15
 100 3.5548588223e-10 1.0238558034e-13 -3.0413565833e-12 0.0000000000e+00 1.0651390093e-11 1.5643395434e-12 -9.1477267221e-15
 101 3.5956245523e-10 1.0431973223e-13 -3.1288160151e-12 0.0000000000e+00 1.0377095939e-11 1.5324615713e-12 -8.7600997934e-15
 102 3.6366600681e-10 1.0623172901e-13 -3.2162723530e-12 0.0000000000e+00 1.0112522049e-11 1.5016438588e-12 -8.3625109333e-15
 103 3.6779587527e-10 1.0812018255e-13 -3.3036609641e-12 0.0000000000e+00 9.8571722015e-12 1.4718192302e-12 -7.9648027620e-15
 104 3.7195122189e-10 1.0998373199e-13 -3.3909166791e-12 0.0000000000e+00 9.6104414654e-12 1.4429070064e-12 -7.5775710965e-15
 105 3.7613102453e-10 1.1182104549e-13 -3.4779738252e-12 0.0000000000e+00 9.3716128458e-12 1.4148125904e-12 -7.2121827587e-15
 106 3.8033407128e-10 1.1363082189e-13 -3.5647662586e-12 0.0000000000e+00 9.1398539335e-12 1.3874270537e-12 -6.8807933846e-15
 107 3.8455920391e-10 1.1541170200e-13 -3.6512268805e-12 0.0000000000e+00 8.9144084246e-12 1.3606523969e-12 -6.5938271884e-15
 108 3.8880609820e-10 1.1716198555e-13 -3.7372860420e-12 0.0000000000e+00 8.6952065249e-12 1.3344819985e-12 -6.3520011202e-15
 109 3.9307457478e-10 1.1887988002e-13 -3.8228729893e-12 0.0000000000e+00 8.4823288861e-12 1.3089300163e-12 -6.1532807843e-15
 110 3.9736435475e-10 1.2056358851e-13 -3.9079163896e-12 0.0000000000e+00 8.2758175892e-12 1.2840065116e-12 -5.9953163728e-15
 111 4.0167505589e-10 1.2221131049e-13 -3.9923443575e-12 0.0000000000e+00 8.0756748156e-12 1.2597173019e-12 -5.8754341195e-15
 112 4.0600618895e-10 1.2382124254e-13 -4.0760844828e-12 0.0000000000e+00 7.8818615189e-12 1.2360638139e-12 -5.7906277517e-15
 113 4.1035715383e-10 1.2539157915e-13 -4.1590638578e-12 0.0000000000e+00 7.6942960960e-12 1.2130429360e-12 -5.7375499441e-15
 114 4.1472723584e-10 1.2692051344e-13 -4.2412091046e-12 0.0000000000e+00 7.5128530590e-12 1.1906468712e-12 -5.7125037709e-15
 115 4.1911560192e-10 1.2840623793e-13 -4.3224464023e-12 0.0000000000e+00 7.3373617063e-12 1.1688629896e-12 -5.7114341593e-15
 116 4.2352129687e-10 1.2984694532e-13 -4.4027015145e-12 0.0000000000e+00 7.1676047944e-12 1.1476736812e-12 -5.7299193419e-15
 117 4.2794323961e-10 1.3124082920e-13 -4.4818998166e-12 0.0000000000e+00 7.0033172092e-12 1.1270562084e-12 -5.7631623102e-15
 118 4.3238021936e-10 1.3258608488e-13 -4.5599663227e-12 0.0000000000e+00 6.8441846372e-12 1.1069825593e-12 -5.8059822669e-15
 119 4.3683089191e-10 1.3388091007e-13 -4.6368257138e-12 0.0000000000e+00 6.6898422376e-12 1.0874192996e-12 -5.8528060792e-15
 120 4.4129377585e-10 1.3512350571e-13 -4.7124023642e-12 0.0000000000e+00 6.5398733132e-12 1.0683274261e-12 -5.8976597315e-15
 121 4.4576724879e-10 1.3631207667e-13 -4.7866203694e-12 0.0000000000e+00 6.3938079822e-12 1.0496622188e-12 -5.9341597785e-15
 122 4.5024977666e-10 1.3744495586e-13 -4.8594052259e-12 0.0000000000e+00 6.2512277649e-12 1.0313838894e-12 -5.9567679299e-15
 123 4.5474063974e-10 1.3852099107e-13 -4.9306890329e-12 0.0000000000e+00 6.1120958927e-12 1.0134912366e-12 -5.9647375555e-15
 124 4.5923928398e-10 1.3953920457e-13 -5.0004059473e-12 0.0000000000e+00 5.9764629219e-12 9.9599162867e-13 -5.9586101875e-15
 125 4.6374509361e-10 1.4049867548e-13 -5.0684906250e-12 0.0000000000e+00 5.8443637677e-12 9.7889049619e-13 -5.9389948508e-15
 126 4.6825738920e-10 1.4139854160e-13 -5.1348782616e-12 0.0000000000e+00 5.7158172223e-12 9.6219127151e-13 -5.9065696179e-15
 127 4.7277542578e-10 1.4223800105e-13 -5.1995046324e-12 0.0000000000e+00 5.5908254736e-12 9.4589532759e-13 -5.8620831620e-15
 128 4.7729839092e-10 1.4301631413e-13 -5.2623061339e-12 0.0000000000e+00 5.4693736232e-12 9.3000191709e-13 -5.8063563112e-15
 129 4.8182540285e-10 1.4373280497e-13 -5.3232198233e-12 0.0000000000e+00 5.3514292055e-12 9.1450811135e-13 -5.7402836025e-15
 130 4.8635550852e-10 1.4438686333e-13 -5.3821834597e-12 0.0000000000e+00 5.2369417056e-12 8.9940873952e-13 -5.6648348359e-15
