# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
  43 1.7058404449e-10 9.5910044049e-15 1.9344151732e-13 7.4048351723e-17 7.5046100014e-11 8.5466142303e-12 -2.5662720323e-15
  44 1.7306301374e-10 1.0343064979e-14 1.7977177439e-13 7.7541103406e-17 7.1491476275e-11 8.1848761805e-12 -3.1393843233e-15
  45 1.7556855194e-10 1.1133007878e-14 1.6486641750e-13 8.1116958835e-17 6.8177168122e-11 7.8473215472e-12 -4.2572528430e-15
  46 1.7810108361e-10 1.1961968577e-14 1.4846055737e-13 8.4776003634e-17 6.5083393990e-11 7.5316200702e-12 -5.5829103681e-15
  47 1.8065803120e-10 1.2831120019e-14 1.3024439076e-13 8.8518305611e-17 6.2176706585e-11 7.2339724982e-12 -6.7118380989e-15
  48 1.8323584028e-10 1.3741351084e-14 1.0994079719e-13 9.2343886252e-17 5.9420517955e-11 6.9502833223e-12 -7.2694841270e-15
  49 1.8583734887e-10 1.4692190115e-14 8.7570015885e-14 9.6252628185e-17 5.6812455812e-11 6.6803127714e-12 -7.2450693755e-15
  50 1.8846603978e-10 1.5682581407e-14 6.3255144586e-14 1.0024433979e-16 5.4355864006e-11 6.4245163707e-12 -6.7454386826e-15
  51 1.9112378696e-10 1.6711168128e-14 3.7149949628e-14 1.0431877794e-16 5.2048844989e-11 6.1828323109e-12 -5.9033942920e-15
  52 1.9381070712e-10 1.7776277823e-14 9.4403761955e-15 1.0847564554e-16 4.9883872477e-11 5.9546425002e-12 -4.8791148970e-15
  53 1.9652501140e-10 1.8875907922e-14 -1.9653941390e-14 1.1271458903e-16 4.7847404104e-11 5.7387336150e-12 -3.8615746844e-15
  54 1.9926285705e-10 2.0007711249e-14 -4.9878169388e-14 1.1703519596e-16 4.5919494074e-11 5.5332581516e-12 -3.0699623784e-15
  55 2.0202017899e-10 2.1169697338e-14 -8.1014449970e-14 1.2143704893e-16 4.4079548267e-11 5.3362991302e-12 -2.7023757619e-15
  56 2.0479905724e-10 2.2362573593e-14 -1.1312288360e-13 1.2591990905e-16 4.2326151118e-11 5.1478177108e-12 -2.7637291127e-15
  57 2.0760267148e-10 2.3587960342e-14 -1.4635776647e-13 1.3048357373e-16 4.0661485695e-11 4.9681211852e-12 -3.1975798465e-15
  58 2.1043339005e-10 2.4847739081e-14 -1.8090048089e-13 1.3512782395e-16 3.9085477984e-11 4.7972866211e-12 -3.9344860808e-15
  59 2.1329269874e-10 2.6144065877e-14 -2.1696085586e-13 1.3985242398e-16 3.7595648856e-11 4.6351454321e-12 -4.8913714758e-15
  60 2.1618112963e-10 2.7479384761e-14 -2.5477852766e-13 1.4465712110e-16 3.6186966043e-11 4.4812679480e-12 -5.9708900767e-15
  61 2.1909818987e-10 2.8856441123e-14 -2.9462430046e-13 1.4954164534e-16 3.4851696106e-11 4.3349479852e-12 -7.0607911553e-15
  62 2.2204229045e-10 3.0278295112e-14 -3.3680150684e-13 1.5450570918e-16 3.3579256407e-11 4.1951874170e-12 -8.0332840514e-15
  63 2.2501172988e-10 3.1747396037e-14 -3.8157029950e-13 1.5954908095e-16 3.2359105283e-11 4.0609837536e-12 -8.7729580113e-15
  64 2.2800805537e-10 3.3262540329e-14 -4.2889823178e-13 1.6467182408e-16 3.1190480216e-11 3.9323006961e-12 -9.2690640813e-15
  65 2.3103331008e-10 3.4821271996e-14 -4.7865754018e-13 1.6987410969e-16 3.0074526210e-11 3.8092824067e-12 -9.5422885024e-15
  66 2.3408900386e-10 3.6420748842e-14 -5.3069650155e-13 1.7515614944e-16 2.9011388366e-11 3.6919628760e-12 -9.6181829302e-15
  67 2.3717607346e-10 3.8057727917e-14 -5.8483849999e-13 1.8051819746e-16 2.8000154279e-11 3.5802595106e-12 -9.5273791271e-15
  68 2.4029484273e-10 3.9728550966e-14 -6.4088109370e-13 1.8596055225e-16 2.7038796426e-11 3.4739667219e-12 -9.3058036556e-15
  69 2.4344498280e-10 4.1429129884e-14 -6.9859508186e-13 1.9148355861e-16 2.6124114566e-11 3.3727495146e-12 -8.9948925707e-15
  70 2.4662547226e-10 4.3154932158e-14 -7.5772357150e-13 1.9708760957e-16 2.5251678130e-11 3.2761370750e-12 -8.6418061127e-15
  71 2.4983455739e-10 4.4900966324e-14 -8.1798104433e-13 2.0277314830e-16 2.4415768619e-11 3.1835163595e-12 -8.2996434005e-15
  72 2.5307055073e-10 4.6662769117e-14 -8.7911352187e-13 2.0854060237e-16 2.3610853782e-11 3.0942903768e-12 -8.0168946379e-15
  73 2.5633449285e-10 4.8439618638e-14 -9.4109450424e-13 2.1439016777e-16 2.2836465771e-11 3.0084024563e-12 -7.8029766869e-15
  74 2.5962793191e-10 5.0231914534e-14 -1.0039651306e-12 2.2032198670e-16 2.2093159609e-11 2.9259014947e-12 -7.6564392322e-15
  75 2.6295211029e-10 5.2040239118e-14 -1.0677768674e-12 2.2633621194e-16 2.1381042115e-11 2.8467835726e-12 -7.5751106111e-15
  76 2.6630794388e-10 5.3865365691e-14 -1.1325919699e-12 2.3243300718e-16 2.0699749271e-11 2.7709893031e-12 -7.5560667875e-15
  77 2.6969600141e-10 5.5708266862e-14 -1.1984839445e-12 2.3861254745e-16 2.0048423589e-11 2.6984011802e-12 -7.5956003255e-15
  78 2.7311648381e-10 5.7570122865e-14 -1.2655380099e-12 2.4487501944e-16 1.9425691475e-11 2.6288409273e-12 -7.6891893637e-15
  79 2.7656920355e-10 5.9452329883e-14 -1.3338515595e-12 2.5122062191e-16 1.8829640601e-11 2.5620668462e-12 -7.8314665888e-15
  80 2.8005356395e-10 6.1356508364e-14 -1.4035346228e-12 2.5764956605e-16 1.8257797265e-11 2.4977711649e-12 -8.0161882100e-15
  81 2.8356853852e-10 6.3284511346e-14 -1.4747103272e-12 2.6416207587e-16 1.7707103761e-11 2.4355773870e-12 -8.2362029323e-15
  82 2.8711314627e-10 6.5237701422e-14 -1.5474805870e-12 2.7075836153e-16 1.7174683013e-11 2.3751351806e-12 -8.4840232736e-15
  83 2.9068801569e-10 6.7214622310e-14 -1.6218154599e-12 2.7743853349e-16 1.6660331365e-11 2.3164293824e-12 -8.7537190959e-15
  84 2.9429404949e-10 6.9212945693e-14 -1.6976457792e-12 2.8420267442e-16 1.6164409209e-11 2.2595188036e-12 -9.0392900088e-15
  85 2.9793194049e-10 7.1230162958e-14 -1.7748961102e-12 2.9105086482e-16 1.5687082668e-11 2.2044424300e-12 -9.3340714729e-15
  86 3.0160215968e-10 7.3263580628e-14 -1.8534845983e-12 2.9798318292e-16 1.5228314851e-11 2.1512184898e-12 -9.6307143939e-15
  87 3.0530494431e-10 7.5310315779e-14 -1.9333228185e-12 3.0499970459e-16 1.4787857090e-11 2.0998435224e-12 -9.9211647166e-15
  88 3.0904028597e-10 7.7367291472e-14 -2.0143156237e-12 3.1210050323e-16 1.4365240196e-11 2.0502914465e-12 -1.0196643019e-14
