# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3300, i.e. number of multipoles equal to 3299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
  43 1.7185790704e-10 9.6577115225e-15 2.0546652390e-13 0.0000000000e+00 7.7004299465e-11 8.4365871447e-12 -1.6743593481e-15
  44 1.7429596351e-10 1.0417733389e-14 1.9199351532e-13 0.0000000000e+00 7.3359142000e-11 8.0808737932e-12 -2.5749580983e-15
  45 1.7676048849e-10 1.1215909043e-14 1.7720822719e-13 0.0000000000e+00 6.9960647000e-11 7.7493879506e-12 -4.1699941676e-15
  46 1.7925147699e-10 1.2052469932e-14 1.6093303884e-13 0.0000000000e+00 6.6788494650e-11 7.4395655997e-12 -6.0529874359e-15
  47 1.8176576687e-10 1.2927529375e-14 1.4296176496e-13 0.0000000000e+00 6.3808339990e-11 7.1473420333e-12 -7.7355863625e-15
  48 1.8429924870e-10 1.3841115490e-14 1.2310316530e-13 0.0000000000e+00 6.0982615702e-11 6.8683867853e-12 -8.7630537485e-15
  49 1.8685487565e-10 1.4793295392e-14 1.0132992810e-13 0.0000000000e+00 5.8308873686e-11 6.6024662722e-12 -9.1098251821e-15
  50 1.8943643762e-10 1.5784075372e-14 7.7668773877e-14 0.0000000000e+00 5.5790534148e-11 6.3501296383e-12 -8.8876441876e-15
  51 1.9204612736e-10 1.6813360751e-14 5.2159516973e-14 0.0000000000e+00 5.3425639274e-11 6.1114394670e-12 -8.2368061196e-15
  52 1.9468439148e-10 1.7880951694e-14 2.4855678473e-14 0.0000000000e+00 5.1206455825e-11 5.8859346550e-12 -7.3277368122e-15
  53 1.9734978148e-10 1.8986539012e-14 -4.1749008546e-15 0.0000000000e+00 4.9119077744e-11 5.6725932860e-12 -6.3625712294e-15
  54 2.0003880476e-10 2.0129699974e-14 -3.4849447638e-14 0.0000000000e+00 4.7143028746e-11 5.4697955055e-12 -5.5767321147e-15
  55 2.0274768687e-10 2.1310011500e-14 -6.7089313855e-14 0.0000000000e+00 4.5257168353e-11 5.2758307658e-12 -5.1842544840e-15
  56 2.0547851234e-10 2.2527432276e-14 -1.0088409903e-13 0.0000000000e+00 4.3460038492e-11 5.0906521784e-12 -5.1942369591e-15
  57 2.0823434840e-10 2.3782008222e-14 -1.3624238376e-13 0.0000000000e+00 4.1753875349e-11 4.9144929512e-12 -5.5515581339e-15
  58 2.1101739449e-10 2.5073763799e-14 -1.7317360460e-13 0.0000000000e+00 4.0138600277e-11 4.7473446311e-12 -6.1885360361e-15
  59 2.1382890773e-10 2.6402702389e-14 -2.1168820753e-13 0.0000000000e+00 3.8611667987e-11 4.5889411872e-12 -7.0243150564e-15
  60 2.1666912843e-10 2.7768806678e-14 -2.5179780140e-13 0.0000000000e+00 3.7167914734e-11 4.4387430938e-12 -7.9642528781e-15
  61 2.1953720553e-10 2.9172039036e-14 -2.9351531141e-13 0.0000000000e+00 3.5799406500e-11 4.2959214143e-12 -8.8993074063e-15
  62 2.2243112210e-10 3.0612341903e-14 -3.3685513261e-13 0.0000000000e+00 3.4495287187e-11 4.1593418844e-12 -9.7054236981e-15
  63 2.2534880034e-10 3.2089544846e-14 -3.8183212716e-13 0.0000000000e+00 3.3244743034e-11 4.0278827413e-12 -1.0271737429e-14
  64 2.2829186524e-10 3.3603061298e-14 -4.2845801589e-13 0.0000000000e+00 3.2046990913e-11 3.9015048073e-12 -1.0593729923e-14
  65 2.3126257149e-10 3.5152126160e-14 -4.7674447078e-13 0.0000000000e+00 3.0903204561e-11 3.7803871354e-12 -1.0699358752e-14
  66 2.3426265764e-10 3.6735880941e-14 -5.2670431846e-13 0.0000000000e+00 2.9813532490e-11 3.6646079733e-12 -1.0622272507e-14
  67 2.3729330672e-10 3.8353371363e-14 -5.7835165929e-13 0.0000000000e+00 2.8777038928e-11 3.5541387797e-12 -1.0402055357e-14
  68 2.4035510681e-10 4.0003544964e-14 -6.3170198640e-13 0.0000000000e+00 2.7791644746e-11 3.4488382405e-12 -1.0084471616e-14
  69 2.4344801160e-10 4.1685248706e-14 -6.8677230475e-13 0.0000000000e+00 2.6854068390e-11 3.3484462852e-12 -9.7217103100e-15
  70 2.4657130102e-10 4.3397226574e-14 -7.4358125021e-13 0.0000000000e+00 2.5959766816e-11 3.2525781032e-12 -9.3726297364e-15
  71 2.4972354180e-10 4.5138117186e-14 -8.0214920859e-13 0.0000000000e+00 2.5102876420e-11 3.1607181599e-12 -9.1030020332e-15
  72 2.5290332712e-10 4.6906528198e-14 -8.6248695304e-13 0.0000000000e+00 2.4277724697e-11 3.0723568944e-12 -8.9705624390e-15
  73 2.5611174755e-10 4.8701281391e-14 -9.2455876649e-13 0.0000000000e+00 2.3483832413e-11 2.9874444854e-12 -8.9762912191e-15
  74 2.5935032541e-10 5.0521210518e-14 -9.8831242278e-13 0.0000000000e+00 2.2721769323e-11 2.9060137776e-12 -9.1041787353e-15
  75 2.6262025643e-10 5.2365088038e-14 -1.0536899005e-12 0.0000000000e+00 2.1991645709e-11 2.8280426381e-12 -9.3354915506e-15
  76 2.6592238814e-10 5.4231624478e-14 -1.1206272398e-12 0.0000000000e+00 2.1293089174e-11 2.7534512308e-12 -9.6486700686e-15
  77 2.6925719822e-10 5.6119467785e-14 -1.1890543996e-12 0.0000000000e+00 2.0625221434e-11 2.6820992898e-12 -1.0019226174e-14
  78 2.7262477292e-10 5.8027202690e-14 -1.2588951140e-12 0.0000000000e+00 1.9986635114e-11 2.6137833932e-12 -1.0419640872e-14
  79 2.7602478534e-10 5.9953350061e-14 -1.3300667499e-12 0.0000000000e+00 1.9375370538e-11 2.5482342374e-12 -1.0819261928e-14
  80 2.7945647392e-10 6.1896366265e-14 -1.4024801632e-12 0.0000000000e+00 1.8788892524e-11 2.4851139107e-12 -1.1184201508e-14
  81 2.8291862070e-10 6.3854642525e-14 -1.4760395562e-12 0.0000000000e+00 1.8224067179e-11 2.4240131668e-12 -1.1477233818e-14
  82 2.8641008029e-10 6.5826554307e-14 -1.5506541292e-12 0.0000000000e+00 1.7677945829e-11 2.3645531933e-12 -1.1665833952e-14
  83 2.8993151715e-10 6.7810620529e-14 -1.6262756232e-12 0.0000000000e+00 1.7150320718e-11 2.3067167554e-12 -1.1748087688e-14
  84 2.9348392480e-10 6.9805370313e-14 -1.7028669137e-12 0.0000000000e+00 1.6641562400e-11 2.2505684984e-12 -1.1731010014e-14
  85 2.9706808975e-10 7.1809295586e-14 -1.7803908453e-12 0.0000000000e+00 1.6151842287e-11 2.1961545754e-12 -1.1622835068e-14
  86 3.0068457953e-10 7.3820851328e-14 -1.8588102972e-12 0.0000000000e+00 1.5681123669e-11 2.1435017631e-12 -1.1433057306e-14
  87 3.0433373083e-10 7.5838455806e-14 -1.9380882473e-12 0.0000000000e+00 1.5229152744e-11 2.0926165785e-12 -1.1172472696e-14
  88 3.0801563755e-10 7.7860490817e-14 -2.0181878378e-12 0.0000000000e+00 1.4795449637e-11 2.0434843951e-12 -1.0853219891e-14
  89 3.1173013884e-10 7.9885301930e-14 -2.0990724397e-12 0.0000000000e+00 1.4379299430e-11 1.9960685587e-12 -1.0488821415e-14
  90 3.1547680727e-10 8.1911198722e-14 -2.1807057177e-12 0.0000000000e+00 1.3979743183e-11 1.9503095041e-12 -1.0094224842e-14
  91 3.1925493680e-10 8.3936455020e-14 -2.2630516953e-12 0.0000000000e+00 1.3595568960e-11 1.9061238712e-12 -9.6858439804e-15
  92 3.2306353093e-10 8.5959309142e-14 -2.3460748193e-12 0.0000000000e+00 1.3225302853e-11 1.8634036212e-12 -9.2816000510e-15
  93 3.2690129078e-10 8.7977964139e-14 -2.4297400250e-12 0.0000000000e+00 1.2867200006e-11 1.8220151528e-12 -8.9009628717e-15
  94 3.3076700770e-10 8.9990609250e-14 -2.5140083586e-12 0.0000000000e+00 1.2519654430e-11 1.7818330143e-12 -8.5610412815e-15
