# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
  43 1.7196863247e-10 9.7338943751e-15 2.0522581309e-13 7.7012146588e-17 7.7004299465e-11 8.4365871447e-12 -1.6743593481e-15
  44 1.7441094597e-10 1.0497409452e-14 1.9173739721e-13 8.0643719732e-17 7.3359142000e-11 8.0808737932e-12 -2.5749580983e-15
  45 1.7687976778e-10 1.1299148503e-14 1.7693643164e-13 8.4361542461e-17 6.9960647000e-11 7.7493879506e-12 -4.1699941676e-15
  46 1.7937509046e-10 1.2139341827e-14 1.6064536534e-13 8.8165703918e-17 6.6788494650e-11 7.4395655997e-12 -6.0529874359e-15
  47 1.8189374936e-10 1.3018101525e-14 1.4265809061e-13 9.2056276842e-17 6.3808339990e-11 7.1473420333e-12 -7.7355863625e-15
  48 1.8443163270e-10 1.3935454350e-14 1.2278345209e-13 9.6033288576e-17 6.0982615702e-11 6.8683867853e-12 -8.7630537485e-15
  49 1.8699169197e-10 1.4891465671e-14 1.0099422713e-13 1.0009662668e-16 5.8308873686e-11 6.6024662722e-12 -9.1098251821e-15
  50 1.8957771567e-10 1.5886139821e-14 7.7317232360e-14 1.0424610504e-16 5.5790534148e-11 6.3501296383e-12 -8.8876441876e-15
  51 1.9219189531e-10 1.6919380010e-14 5.1792386351e-14 1.0848148722e-16 5.3425639274e-11 6.1114394670e-12 -8.2368061196e-15
  52 1.9483467642e-10 1.7990984126e-14 2.4473322797e-14 1.1280248405e-16 5.1206455825e-11 5.8859346550e-12 -7.3277368122e-15
  53 1.9750460954e-10 1.9100640537e-14 -4.5719962853e-15 1.1720875123e-16 4.9119077744e-11 5.6725932860e-12 -6.3625712294e-15
  54 2.0019820128e-10 2.0247923899e-14 -3.5260667367e-14 1.2169988693e-16 4.7143028746e-11 5.4697955055e-12 -5.5767321147e-15
  55 2.0291167634e-10 2.1432408411e-14 -6.7513908582e-14 1.2627548335e-16 4.5257168353e-11 5.2758307658e-12 -5.1842544840e-15
  56 2.0564711761e-10 2.2654050169e-14 -1.0132119967e-13 1.3093530198e-16 4.3460038492e-11 5.0906521784e-12 -5.1942369591e-15
  57 2.0840759047e-10 2.3912892445e-14 -1.3669100170e-13 1.3567913771e-16 4.1753875349e-11 4.9144929512e-12 -5.5515581339e-15
  58 2.1119529247e-10 2.5208956927e-14 -1.7363262687e-13 1.4050676831e-16 4.0138600277e-11 4.7473446311e-12 -6.1885360361e-15
  59 2.1401147881e-10 2.6542244091e-14 -2.1215639183e-13 1.4541795415e-16 3.8611667987e-11 4.5889411872e-12 -7.0243150564e-15
  60 2.1685638785e-10 2.7912733584e-14 -2.5227377120e-13 1.5041243790e-16 3.7167914734e-11 4.4387430938e-12 -7.9642528781e-15
  61 2.1972916656e-10 2.9320384603e-14 -2.9399755094e-13 1.5548994425e-16 3.5799406500e-11 4.2959214143e-12 -8.8993074063e-15
  62 2.2262779598e-10 3.0765136276e-14 -3.3734198176e-13 1.6065017959e-16 3.4495287187e-11 4.1593418844e-12 -9.7054236981e-15
  63 2.2555019599e-10 3.2246814985e-14 -3.8232178088e-13 1.6589290522e-16 3.3244743034e-11 4.0278827413e-12 -1.0271737429e-14
  64 2.2849798797e-10 3.3764831974e-14 -4.2894853777e-13 1.7121817646e-16 3.2046990913e-11 3.9015048073e-12 -1.0593729923e-14
  65 2.3147342247e-10 3.5318420273e-14 -4.7723379542e-13 1.7662615529e-16 3.0903204561e-11 3.7803871354e-12 -1.0699358752e-14
  66 2.3447823367e-10 3.6906719581e-14 -5.2719024979e-13 1.8211704329e-16 2.9813532490e-11 3.6646079733e-12 -1.0622272507e-14
  67 2.3751359988e-10 3.8528773883e-14 -5.7883186898e-13 1.8769108355e-16 2.8777038928e-11 3.5541387797e-12 -1.0402055357e-14
  68 2.4058010420e-10 4.0183529059e-14 -6.3217401233e-13 1.9334856250e-16 2.7791644746e-11 3.4488382405e-12 -1.0084471616e-14
  69 2.4367769502e-10 4.1869830490e-14 -6.8723354961e-13 1.9908981186e-16 2.6854068390e-11 3.3484462852e-12 -9.7217103100e-15
  70 2.4680564665e-10 4.3586420670e-14 -7.4402898011e-13 2.0491521049e-16 2.5959766816e-11 3.2525781032e-12 -9.3726297364e-15
  71 2.4996251985e-10 4.5331936818e-14 -8.0258055184e-13 2.1082518626e-16 2.5102876420e-11 3.1607181599e-12 -9.1030020332e-15
  72 2.5314690196e-10 4.7104985329e-14 -8.6289889610e-13 2.1682015477e-16 2.4277724697e-11 3.0723568944e-12 -8.9705624390e-15
  73 2.5635987921e-10 4.8904387012e-14 -9.2494814088e-13 2.2290031737e-16 2.3483832413e-11 2.9874444854e-12 -8.9762912191e-15
  74 2.5960296998e-10 5.0728974822e-14 -9.8867589941e-13 2.2906582759e-16 2.2721769323e-11 2.9060137776e-12 -9.1041787353e-15
  75 2.6287736595e-10 5.2577520567e-14 -1.0540239868e-12 2.3531685135e-16 2.1991645709e-11 2.8280426381e-12 -9.3354915506e-15
  76 2.6618391057e-10 5.4448734269e-14 -1.1209282768e-12 2.4165356746e-16 2.1293089174e-11 2.7534512308e-12 -9.6486700686e-15
  77 2.6952307735e-10 5.6341263528e-14 -1.1893185590e-12 2.4807616796e-16 2.0625221434e-11 2.6820992898e-12 -1.0019226174e-14
  78 2.7289494829e-10 5.8253692887e-14 -1.2591183955e-12 2.5458485869e-16 1.9986635114e-11 2.6137833932e-12 -1.0419640872e-14
