# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
  43 1.7190128729e-10 9.7108048080e-15 2.0435899478e-13 7.7021576336e-17 7.7066316261e-11 8.4408026905e-12 -1.6673161105e-15
  44 1.7435514121e-10 1.0472520763e-14 1.9086161704e-13 8.0653762906e-17 7.3419142493e-11 8.0848205197e-12 -2.5646867056e-15
  45 1.7683618634e-10 1.1272447324e-14 1.7605309921e-13 8.4372212141e-17 7.0018567878e-11 7.7532154453e-12 -4.1545157674e-15
  46 1.7934437627e-10 1.2110831403e-14 1.5975636823e-13 8.8177012632e-17 6.6844288918e-11 7.4433706095e-12 -6.0313563787e-15
  47 1.8187650301e-10 1.2987803644e-14 1.4176587011e-13 9.2068236604e-17 6.3861976887e-11 7.1511562606e-12 -7.7081011175e-15
  48 1.8442841176e-10 1.3903410432e-14 1.2189092458e-13 9.6045910884e-17 6.1034079779e-11 6.8721791239e-12 -8.7311882138e-15
  49 1.8700302756e-10 1.4857734845e-14 1.0010418127e-13 1.0010992240e-16 5.8358161352e-11 6.6061948238e-12 -9.0752005725e-15
  50 1.8960411729e-10 1.5850799299e-14 7.6432109920e-14 1.0426008437e-16 5.5837651858e-11 6.3537567662e-12 -8.8517100758e-15
  51 1.9223385138e-10 1.6882526340e-14 5.0914204843e-14 1.0849615971e-16 5.3470602249e-11 6.1149329933e-12 -8.2007861719e-15
  52 1.9489265504e-10 1.7952734485e-14 2.3603594222e-14 1.1281785864e-16 5.1249286641e-11 5.8892691229e-12 -7.2925714060e-15
  53 1.9757905942e-10 1.9061134051e-14 -5.4323505904e-15 1.1722483625e-16 4.9159804766e-11 5.6757512889e-12 -6.3288569505e-15
  54 2.0028955290e-10 2.0207322992e-14 -3.6111405786e-14 1.2171669012e-16 4.7181684439e-11 5.4727690808e-12 -5.5446581360e-15
  55 2.0302034032e-10 2.1390899999e-14 -6.8355476929e-14 1.2629301151e-16 4.5293788483e-11 5.2786208852e-12 -5.1536242069e-15
  56 2.0577347365e-10 2.2611846243e-14 -1.0215446226e-13 1.3095355918e-16 4.3494664622e-11 5.0932618181e-12 -5.1647773965e-15
  57 2.0855198369e-10 2.3870231170e-14 -1.3751718720e-13 1.3569812453e-16 4.1786554618e-11 4.9169251028e-12 -5.5230075691e-15
  58 2.1135803263e-10 2.5166103937e-14 -1.7445335384e-13 1.4052648153e-16 4.0169384109e-11 4.7496021319e-12 -6.1606498789e-15
  59 2.1419283956e-10 2.6499493817e-14 -2.1297369497e-13 1.4543838638e-16 3.8640610707e-11 4.5910265398e-12 -6.9968720235e-15
  60 2.1705660604e-10 2.7870410601e-14 -2.5309012807e-13 1.5043357723e-16 3.7195072076e-11 4.4406582752e-12 -7.9370614972e-15
  61 2.1994844165e-10 2.9278845006e-14 -2.9481590927e-13 1.5551177383e-16 3.5824834029e-11 4.2976676737e-12 -8.8722128451e-15
  62 2.2286628957e-10 3.0724769071e-14 -3.3816578743e-13 1.6067267722e-16 3.4519038608e-11 4.1609195297e-12 -9.6783149164e-15
  63 2.2580803494e-10 3.2208042575e-14 -3.8315511785e-13 1.6591604295e-16 3.3266869885e-11 4.0292912812e-12 -1.0244552417e-14
